Date,ticker,share,price
20020730,cash,,10000.0
20020912,TLT,228.0,43.884788513183594
20021122,TLT,-228.0,43.27954864501953
20021205,TLT,227.0,43.46714401245117
20030815,TLT,-227.0,42.88809967041016
20031024,TLT,216.0,44.984718322753906
20031107,TLT,-216.0,44.23163604736328
20031128,TLT,212.0,45.09508514404297
20040519,TLT,-212.0,44.25575256347656
20040716,TLT,201.0,46.825347900390625
20110223,TLT,-201.0,66.5127182006836
20110318,TLT,195.0,68.41072082519531
20130828,TLT,-195.0,82.88276672363281
20131101,TLT,192.0,84.2728271484375
20131111,TLT,-192.0,81.75709533691406
20140228,TLT,180.0,86.92208862304688
20180222,TLT,-180.0,103.90074157714844
20180705,TLT,171.0,109.76190948486328
20180831,TLT,-171.0,108.79347229003906
20180905,TLT,173.0,107.8761215209961
20180918,TLT,-173.0,105.71337890625
20190114,TLT,167.0,109.58872985839844
20220215,TLT,-167.0,129.67843627929688
